year,region,indicator,value
2019,Республика Беларусь,Inflation_CPI,5.6
2020,Республика Беларусь,Inflation_CPI,5.6
2021,Республика Беларусь,Inflation_CPI,9.5
2022,Республика Беларусь,Inflation_CPI,15.21
2023,Республика Беларусь,Inflation_CPI,5.0
2024,Республика Беларусь,Inflation_CPI,5.8
2019,Брестская область,Man_Hours,729767.9
2020,Брестская область,Man_Hours,706621.5
2021,Брестская область,Man_Hours,703258.6
2022,Брестская область,Man_Hours,686840.3
2023,Брестская область,Man_Hours,676504.7
2019,Витебская область,Man_Hours,636002.2
2020,Витебская область,Man_Hours,614755.8
2021,Витебская область,Man_Hours,608950.8
2022,Витебская область,Man_Hours,593109.9
2023,Витебская область,Man_Hours,576719.5
2019,Гомельская область,Man_Hours,783115.5
2020,Гомельская область,Man_Hours,765147.3
2021,Гомельская область,Man_Hours,759376.0
2022,Гомельская область,Man_Hours,744051.4
2023,Гомельская область,Man_Hours,725508.8
2019,Гродненская область,Man_Hours,599197.5
2020,Гродненская область,Man_Hours,576903.6
2021,Гродненская область,Man_Hours,571581.1
2022,Гродненская область,Man_Hours,554284.8
2023,Гродненская область,Man_Hours,542258.4
2019,Минская область,Man_Hours,829494.6
2020,Минская область,Man_Hours,807242.6
2021,Минская область,Man_Hours,804663.0
2022,Минская область,Man_Hours,790095.9
2023,Минская область,Man_Hours,784608.9
2019,Могилевская область,Man_Hours,580132.2
2020,Могилевская область,Man_Hours,559991.9
2021,Могилевская область,Man_Hours,553347.2
2022,Могилевская область,Man_Hours,539771.4
2023,Могилевская область,Man_Hours,525142.9
2019,Республика Беларусь,Man_Hours,5290983.0
2020,Республика Беларусь,Man_Hours,5146791.1
2021,Республика Беларусь,Man_Hours,5117977.2
2022,Республика Беларусь,Man_Hours,4992503.0
2023,Республика Беларусь,Man_Hours,4883053.5
2019,г. Минск,Man_Hours,1133273.1
2020,г. Минск,Man_Hours,1116128.4
2021,г. Минск,Man_Hours,1116800.5
2022,г. Минск,Man_Hours,1084349.3
2023,г. Минск,Man_Hours,1052310.3
2019,Брестская область,Nominal_Monthly_Wage,929.2
2020,Брестская область,Nominal_Monthly_Wage,1054.6
2021,Брестская область,Nominal_Monthly_Wage,1205.8
2022,Брестская область,Nominal_Monthly_Wage,1386.8
2023,Брестская область,Nominal_Monthly_Wage,1655.4
2019,Витебская область,Nominal_Monthly_Wage,911.8
2020,Витебская область,Nominal_Monthly_Wage,1038.3
2021,Витебская область,Nominal_Monthly_Wage,1181.0
2022,Витебская область,Nominal_Monthly_Wage,1350.0
2023,Витебская область,Nominal_Monthly_Wage,1593.8
2019,Гомельская область,Nominal_Monthly_Wage,955.8
2020,Гомельская область,Nominal_Monthly_Wage,1079.4
2021,Гомельская область,Nominal_Monthly_Wage,1248.5
2022,Гомельская область,Nominal_Monthly_Wage,1424.7
2023,Гомельская область,Nominal_Monthly_Wage,1696.7
2019,Гродненская область,Nominal_Monthly_Wage,931.3
2020,Гродненская область,Nominal_Monthly_Wage,1062.1
2021,Гродненская область,Nominal_Monthly_Wage,1216.7
2022,Гродненская область,Nominal_Monthly_Wage,1412.2
2023,Гродненская область,Nominal_Monthly_Wage,1682.2
2019,Минская область,Nominal_Monthly_Wage,1079.6
2020,Минская область,Nominal_Monthly_Wage,1223.5
2021,Минская область,Nominal_Monthly_Wage,1414.3
2022,Минская область,Nominal_Monthly_Wage,1596.7
2023,Минская область,Nominal_Monthly_Wage,1898.6
2019,Могилевская область,Nominal_Monthly_Wage,891.6
2020,Могилевская область,Nominal_Monthly_Wage,1010.0
2021,Могилевская область,Nominal_Monthly_Wage,1147.3
