user	dir	file	read	write	execute
iit22	pzs13	file43	НЕТ	ДА	НЕТ
iit22	pzs13	file44	ДА	ДА	ДА
iit22	pzs13	file45	НЕТ	НЕТ	ДА
iit22	pzs13	file51	НЕТ	НЕТ	НЕТ
iit22	pzs13	file52	НЕТ	НЕТ	НЕТ
iit22	pzs13	file53	НЕТ	НЕТ	НЕТ
iit22	pzs13	file54	НЕТ	НЕТ	НЕТ
iit22	pzs13	file55	НЕТ	НЕТ	НЕТ
iit22	pzs14	file11	НЕТ	НЕТ	НЕТ
iit22	pzs14	file12	НЕТ	НЕТ	НЕТ
iit22	pzs14	file13	НЕТ	НЕТ	НЕТ
iit22	pzs14	file14	НЕТ	НЕТ	НЕТ
iit22	pzs14	file15	НЕТ	НЕТ	НЕТ
iit22	pzs14	file21	НЕТ	НЕТ	НЕТ
iit22	pzs14	file22	НЕТ	НЕТ	НЕТ
iit22	pzs14	file23	НЕТ	НЕТ	НЕТ
iit22	pzs14	file24	НЕТ	НЕТ	НЕТ
iit22	pzs14	file25	НЕТ	НЕТ	НЕТ
iit22	pzs14	file31	ДА	НЕТ	НЕТ
iit22	pzs14	file32	ДА	ДА	НЕТ
iit22	pzs14	file33	НЕТ	ДА	НЕТ
iit22	pzs14	file34	ДА	ДА	ДА
iit22	pzs14	file35	НЕТ	НЕТ	ДА
iit22	pzs14	file41	ДА	НЕТ	НЕТ
iit22	pzs14	file42	ДА	ДА	НЕТ
iit22	pzs14	file43	НЕТ	ДА	НЕТ
iit22	pzs14	file44	ДА	ДА	ДА
iit22	pzs14	file45	НЕТ	НЕТ	ДА
iit22	pzs14	file51	НЕТ	НЕТ	НЕТ
iit22	pzs14	file52	НЕТ	НЕТ	НЕТ
iit22	pzs14	file53	НЕТ	НЕТ	НЕТ
iit22	pzs14	file54	НЕТ	НЕТ	НЕТ
iit22	pzs14	file55	НЕТ	НЕТ	НЕТ
iit22	pzs15	file11	НЕТ	НЕТ	НЕТ
iit22	pzs15	file12	НЕТ	НЕТ	НЕТ
